Company,TypeName,Ram,Weight,Touchscreen,IPS,PPI,Processor,HDD,SSD,Hybrid,Flash_Storage,Gpu Name,OS,Price
Acer,Notebook,4,1.68,0,0,111.93520355955212,Other Intel Processor,0,0,0,32,Intel,Others/No OS/Linux,18594.72
Asus,Gaming,16,2.9,0,0,127.33567457123112,Intel Core i7,1024,256,0,0,Nvidia,Windows,128884.32
Acer,Notebook,4,2.1,0,0,100.45466986113652,Other Intel Processor,1024,0,0,0,Intel,Windows,19367.8128
Dell,Netbook,4,1.26,0,0,135.0942111925629,Other Intel Processor,0,0,0,16,Intel,Others/No OS/Linux,15717.6
Lenovo,Notebook,8,2.8,0,0,106.11306214269258,Intel Core i5,1024,0,0,0,Intel,Others/No OS/Linux,28717.92
Asus,Gaming,16,3.2,0,0,127.33567457123112,AMD Processor,1024,256,0,0,AMD,Windows,82530.72
Toshiba,Notebook,8,1.47,0,1,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,79387.2
Asus,Gaming,8,3.0,0,0,127.33567457123112,Intel Core i7,1024,0,0,0,Nvidia,Windows,63243.36
Lenovo,Gaming,8,2.4,0,1,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Others/No OS/Linux,41505.12
HP,Gaming,8,2.62,0,1,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Windows,47898.72
HP,Notebook,8,1.91,0,0,100.45466986113652,Intel Core i5,0,256,0,0,Intel,Windows,30849.12
Dell,Gaming,16,2.62,0,0,282.42399616439724,Intel Core i7,0,512,0,0,Nvidia,Windows,89457.12
Lenovo,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,500,0,0,0,Intel,Windows,21791.52
Toshiba,Notebook,8,1.05,0,0,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,78588.0
HP,Ultrabook,4,1.26,0,0,176.23257360658386,Intel Core i5,500,0,0,0,Intel,Windows,81997.92
Dell,Notebook,8,2.02,0,0,141.21199808219862,Intel Core i7,2048,256,0,0,AMD,Windows,60867.072
Acer,Notebook,4,2.4,0,0,100.45466986113652,Intel Core i5,500,0,0,0,Intel,Others/No OS/Linux,23539.104
LG,Ultrabook,8,1.09,0,1,141.21199808219862,Intel Core i7,0,512,0,0,Intel,Windows,122490.72
MSI,Gaming,8,2.7,0,0,127.33567457123112,Intel Core i7,1024,128,0,0,Nvidia,Windows,63499.10399999999
Lenovo,Ultrabook,8,1.36,0,1,176.23257360658386,Intel Core i7,0,256,0,0,Intel,Windows,84395.52
Samsung,Notebook,16,2.5,0,0,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows,90522.72
Microsoft,Ultrabook,4,1.252,1,0,200.84255993695703,Other Intel Processor,0,128,0,0,Intel,Windows,52693.92
HP,Workstation,8,2.6,0,0,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows,92615.0256
Dell,Notebook,4,2.29,0,0,100.45466986113652,Intel Core i3,500,0,0,0,Intel,Windows,26107.2
HP,Notebook,8,1.91,0,0,100.45466986113652,AMD Processor,0,128,0,0,AMD,Windows,23757.552
Dell,Gaming,16,4.36,0,0,169.78089942830815,Intel Core i7,1024,512,0,0,Nvidia,Windows,146946.24
Lenovo,2 in 1 Convertible,4,0.69,1,1,224.1738090785728,Other Intel Processor,0,0,0,64,Intel,Others/No OS/Linux,16996.32
Dell,Ultrabook,8,1.88,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Intel,Windows,69157.44
MSI,Gaming,16,2.8,0,0,127.33567457123112,Intel Core i7,1024,256,0,0,Nvidia,Windows,100699.2
HP,Notebook,4,2.1,0,0,141.21199808219862,Intel Core i3,1024,128,0,0,AMD,Windows,26586.72
Lenovo,Ultrabook,8,1.3,1,1,176.23257360658386,Intel Core i7,0,256,0,0,Intel,Windows,91294.7472
Lenovo,Notebook,8,1.4,0,1,165.6321180513006,Intel Core i3,0,256,0,0,Intel,Windows,50562.72
Lenovo,Notebook,4,2.6,0,0,106.11306214269258,AMD Processor,0,128,0,0,AMD,Windows,26053.92
Dell,2 in 1 Convertible,12,1.6,1,1,165.6321180513006,Intel Core i7,0,256,0,0,Intel,Windows,69210.72
Dell,Notebook,8,1.95,0,0,100.45466986113652,Intel Core i5,0,128,0,0,Intel,Windows,43156.8
Lenovo,Gaming,16,4.6,0,1,127.33567457123112,Intel Core i7,0,256,1024,0,Nvidia,Windows,146519.46719999998
HP,Notebook,4,1.64,0,0,111.93520355955212,Intel Core i5,0,256,0,0,Intel,Windows,51841.44
Dell,Ultrabook,16,1.21,1,1,331.2642361026012,Intel Core i7,0,1024,0,0,Intel,Windows,133146.72
Lenovo,Gaming,8,2.4,0,1,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Others/No OS/Linux,46300.32
Asus,Notebook,4,2.2,0,0,141.21199808219862,AMD Processor,1024,128,0,0,AMD,Windows,30636.0
Lenovo,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Others/No OS/Linux,29250.72
Vero,Notebook,4,1.3,0,1,157.3505121487356,Other Intel Processor,0,0,0,32,Intel,Windows,13852.8
HP,Notebook,6,2.04,0,0,100.45466986113652,Intel Core i7,1024,0,0,0,Intel,Windows,30849.12
Dell,Gaming,16,4.42,0,1,127.33567457123112,Intel Core i7,1024,256,0,0,Nvidia,Windows,130873.7952
Dell,Notebook,8,2.13,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows,38787.84
HP,2 in 1 Convertible,8,1.48,1,0,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,86793.12
Dell,Notebook,4,1.93,0,0,100.45466986113652,Intel Core i5,500,0,0,0,Intel,Others/No OS/Linux,46300.32
Dell,Ultrabook,8,1.2,1,0,276.053530085501,Intel Core i7,0,256,0,0,Intel,Windows,74538.72
HP,Ultrabook,8,1.09,1,0,352.4651472131677,Other Intel Processor,0,240,0,0,Intel,Windows,165168.0
HP,Notebook,8,2.04,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Windows,47365.92
Asus,Gaming,24,2.24,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Windows,158135.04
HP,Notebook,4,1.49,0,1,165.6321180513006,Intel Core i5,500,0,0,0,Intel,Windows,35964.0
Toshiba,Notebook,16,2.4,0,1,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows,105228.0
Lenovo,2 in 1 Convertible,8,1.37,1,1,165.6321180513006,Intel Core i7,0,256,0,0,Intel,Windows,103896.0
Acer,Notebook,4,3.3,0,0,106.11306214269258,Intel Core i3,1024,0,0,0,Nvidia,Windows,31861.44
Dell,Gaming,16,2.65,0,1,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows,79866.72
HP,Notebook,4,2.1,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Intel,Windows,25467.84
Acer,Notebook,4,2.1,0,0,100.45466986113652,Other Intel Processor,500,0,0,0,Intel,Windows,17742.239999999998
Asus,Notebook,4,2.0,0,0,141.21199808219862,Intel Core i3,0,256,0,0,Intel,Others/No OS/Linux,22111.2
Lenovo,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i5,500,0,0,0,Intel,Others/No OS/Linux,21205.44
Dell,Ultrabook,8,1.4,0,1,165.6321180513006,Intel Core i7,0,256,0,0,AMD,Windows,50882.4
HP,Notebook,6,2.18,0,1,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Windows,42570.72
Apple,Ultrabook,8,0.92,0,1,226.4155471693585,Other Intel Processor,0,0,0,256,Intel,Mac,61964.64
Lenovo,Notebook,6,2.2,0,0,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows,42037.92
Toshiba,Ultrabook,16,1.2,0,0,165.6321180513006,Intel Core i7,0,512,0,0,Intel,Windows,93080.16
HP,Ultrabook,8,1.26,0,0,176.23257360658386,Intel Core i7,0,256,0,0,Intel,Windows,71874.72
Mediacom,Notebook,2,1.4,0,0,157.3505121487356,Other Intel Processor,0,0,0,32,Intel,Windows,12733.92
Dell,Notebook,4,1.65,0,0,117.82653006268644,Intel Core i3,500,0,0,0,Intel,Windows,45234.72
Lenovo,Ultrabook,8,1.7,0,0,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,79866.72
Lenovo,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i5,0,128,0,0,Intel,Windows,26267.04
Dell,Notebook,4,2.18,0,0,100.45466986113652,Intel Core i3,1024,0,0,0,AMD,Windows,32713.92
Lenovo,2 in 1 Convertible,8,1.7,1,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,53226.72
Asus,Notebook,4,2.0,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Intel,Others/No OS/Linux,20725.92
Asus,Gaming,8,2.5,0,0,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows,67399.2
Toshiba,Notebook,8,1.2,0,0,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,64628.64
HP,Notebook,8,2.04,0,0,100.45466986113652,Intel Core i5,1024,0,0,0,Nvidia,Windows,45101.52
Toshiba,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i5,500,0,0,0,Intel,Windows,32074.56
Toshiba,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i5,500,0,0,0,Intel,Windows,41558.4
HP,Notebook,4,1.86,0,0,100.45466986113652,Intel Core i5,500,0,0,0,Intel,Others/No OS/Linux,20986.992
Dell,Notebook,32,2.06,1,0,282.42399616439724,Intel Core i7,0,1024,0,0,Nvidia,Windows,140605.91999999998
Asus,Notebook,4,2.8,0,0,90.58340172449304,Other Intel Processor,1024,0,0,0,Nvidia,Windows,25059.715199999995
Asus,Notebook,4,2.37,0,0,100.45466986113652,Intel Core i7,0,256,0,0,Intel,Windows,45282.672
HP,Notebook,4,1.86,0,0,100.45466986113652,Intel Core i3,500,0,0,0,AMD,Windows,23373.4032
Dell,Ultrabook,8,1.36,0,0,157.3505121487356,Intel Core i7,0,512,0,0,Intel,Windows,89510.4
Dell,Notebook,2,2.2,0,0,100.45466986113652,Other Intel Processor,500,0,0,0,Intel,Windows,20193.12
Asus,Notebook,4,1.65,0,0,111.1413368676404,Other Intel Processor,0,0,0,32,Intel,Windows,18541.44
Toshiba,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i3,0,128,0,0,Intel,Windows,26533.44
Asus,Gaming,8,3.0,0,0,127.33567457123112,Intel Core i7,1024,128,0,0,Nvidia,Windows,62231.04
Asus,Notebook,4,2.03,0,0,100.45466986113652,AMD Processor,1024,0,0,0,AMD,Windows,21471.84
Dell,Gaming,16,2.65,0,1,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows,71874.72
Toshiba,Notebook,16,2.4,0,1,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Windows,74751.84
Asus,Gaming,8,2.7,0,1,127.33567457123112,Intel Core i7,1024,256,0,0,Nvidia,Windows,85194.72
Lenovo,Ultrabook,8,1.7,0,1,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,79333.3872
Apple,Ultrabook,8,1.35,0,0,127.67794013309688,Intel Core i5,0,0,0,256,Intel,Mac,53173.44
Asus,Notebook,8,2.0,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Windows,40972.32
Asus,Notebook,4,2.65,0,0,100.45466986113652,Other Intel Processor,1024,0,0,0,Intel,Windows,16463.52
Dell,Notebook,8,2.8,0,1,127.33567457123112,Intel Core i5,1024,128,0,0,AMD,Others/No OS/Linux,47365.92
Google,Ultrabook,8,1.1,1,0,234.50740003017813,Intel Core i5,0,256,0,0,Intel,Others/No OS/Linux,83063.52
Asus,Gaming,8,3.2,0,0,127.33567457123112,AMD Processor,1024,256,0,0,AMD,Windows,90309.6
Acer,Notebook,6,2.1,0,0,100.45466986113652,AMD Processor,1024,0,0,0,AMD,Windows,21791.52
Dell,Gaming,8,2.65,0,0,141.21199808219862,Intel Core i5,0,0,1024,0,Nvidia,Windows,50562.72
Apple,Ultrabook,16,1.83,0,1,220.53462386625827,Intel Core i7,0,256,0,0,AMD,Mac,130001.6016
Lenovo,Notebook,4,2.79,0,0,106.11306214269258,Intel Core i5,1024,0,0,0,Nvidia,Windows,31381.92
Lenovo,Notebook,8,2.02,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,71395.2
Lenovo,Notebook,16,2.5,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Windows,130482.72
HP,Netbook,2,1.17,0,0,135.0942111925629,Other Intel Processor,0,0,0,32,Intel,Windows,11135.52
Acer,Notebook,4,1.6,0,0,117.82653006268644,Intel Core i5,0,128,0,0,Intel,Windows,34898.4
Lenovo,2 in 1 Convertible,16,1.3,1,1,276.053530085501,Intel Core i7,0,512,0,0,Intel,Windows,79866.72
HP,Workstation,8,2.0,0,0,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows,101178.72
Dell,2 in 1 Convertible,8,1.56,1,0,141.21199808219862,Intel Core i7,0,256,0,0,Intel,Windows,55890.72
Lenovo,Notebook,4,2.3,0,1,141.21199808219862,Intel Core i5,1024,0,0,0,Nvidia,Windows,52054.56
HP,Notebook,8,1.84,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Windows,60952.32
HP,Notebook,8,1.48,0,0,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,68837.76
HP,Ultrabook,8,1.43,0,0,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,79920.0
HP,Notebook,8,1.43,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,78268.31999999999
Acer,Ultrabook,8,1.6,0,1,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,41025.6
Asus,2 in 1 Convertible,8,1.1,1,0,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,70063.2
Acer,2 in 1 Convertible,8,1.2,1,1,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,61218.72
HP,Notebook,4,1.86,0,0,100.45466986113652,Intel Core i3,1024,0,0,0,Intel,Others/No OS/Linux,18434.3472
Dell,Notebook,4,1.95,0,0,100.45466986113652,Intel Core i5,500,0,0,0,Intel,Windows,38889.072
Dell,Notebook,4,2.3,0,0,100.45466986113652,Intel Core i3,1024,0,0,0,Intel,Windows,22305.1392
Lenovo,Notebook,4,1.7,0,0,111.93520355955212,Intel Core i5,0,0,508,0,Intel,Windows,53386.56
HP,Ultrabook,8,1.11,1,1,165.6321180513006,Intel Core i7,0,256,0,0,Intel,Windows,71874.72
Dell,Notebook,16,2.32,0,0,141.21199808219862,Intel Core i7,2048,0,0,0,AMD,Windows,52746.6672
Dell,Notebook,16,2.36,0,0,141.21199808219862,Intel Core i7,0,256,0,0,AMD,Others/No OS/Linux,47898.72
MSI,Gaming,8,2.7,0,0,127.33567457123112,Intel Core i7,1024,256,0,0,Nvidia,Windows,63882.72
HP,Notebook,8,1.95,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,52214.4
HP,Notebook,4,2.1,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,AMD,Windows,24988.32
Asus,Notebook,4,2.2,0,0,100.45466986113652,Intel Core i7,500,0,0,0,Nvidia,Windows,38378.6496
Dell,Workstation,16,3.42,0,0,127.33567457123112,Intel Core i7,0,256,0,0,Nvidia,Windows,153705.3408
Dell,2 in 1 Convertible,8,1.6,1,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,63882.72
HP,Notebook,4,1.86,0,0,100.45466986113652,Intel Core i5,1024,0,0,0,Intel,Windows,26037.4032
Lenovo,Notebook,8,2.2,0,0,100.45466986113652,Other Intel Processor,1024,0,0,0,Intel,Others/No OS/Linux,17529.12
Acer,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i3,1024,0,0,0,Intel,Windows,23816.16
HP,Notebook,8,1.91,0,0,141.21199808219862,Intel Core i7,0,256,0,0,AMD,Windows,38308.32
Dell,Ultrabook,8,1.41,0,0,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,50562.72
Lenovo,Ultrabook,24,1.32,0,0,209.8006828649808,Intel Core i7,0,512,0,0,Intel,Windows,126912.96
HP,Notebook,8,2.63,0,0,127.33567457123112,Intel Core i7,0,256,0,0,Nvidia,Windows,63936.0
Dell,Gaming,16,4.36,0,1,254.67134914246225,Intel Core i7,1024,512,0,0,Nvidia,Windows,168045.12
Lenovo,Notebook,8,2.2,0,0,100.45466986113652,Intel Core i3,1024,0,0,0,Intel,Windows,24455.52
Dell,Notebook,8,2.83,0,0,127.33567457123112,Intel Core i7,1024,0,0,0,AMD,Others/No OS/Linux,46087.2
Asus,Notebook,4,2.2,0,0,100.45466986113652,Other Intel Processor,500,0,0,0,Intel,Windows,19660.32
Asus,Notebook,4,2.0,0,0,100.45466986113652,Other Intel Processor,1024,0,0,0,Intel,Others/No OS/Linux,14651.4672
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,1024,0,0,0,AMD,Windows,35964.0
Apple,Ultrabook,8,1.37,0,1,226.98300468106115,Intel Core i5,0,128,0,0,Intel,Mac,71378.6832
Asus,2 in 1 Convertible,12,2.26,1,0,141.21199808219862,Intel Core i7,2048,512,0,0,Nvidia,Windows,58554.72
Lenovo,Ultrabook,16,1.36,0,1,176.23257360658386,Intel Core i7,0,512,0,0,Intel,Windows,95797.44
Acer,Notebook,4,2.4,0,0,100.45466986113652,Intel Core i3,1024,0,0,0,Intel,Windows,20459.52
Lenovo,Notebook,8,1.9,0,0,141.21199808219862,Intel Core i5,1024,128,0,0,AMD,Windows,43580.376
Lenovo,Notebook,8,1.95,0,1,141.21199808219862,Intel Core i5,0,512,0,0,Intel,Windows,104588.1072
MSI,Gaming,16,4.14,0,0,127.33567457123112,Intel Core i7,1024,128,0,0,Nvidia,Windows,117162.72
Dell,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,0,256,0,0,AMD,Others/No OS/Linux,25840.8
Apple,Ultrabook,8,0.92,0,1,226.4155471693585,Other Intel Processor,0,0,0,512,Intel,Mac,68145.12
Lenovo,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Others/No OS/Linux,36496.8
HP,Notebook,4,1.49,0,1,165.6321180513006,Intel Core i5,500,0,0,0,Intel,Windows,40173.12
Toshiba,Notebook,8,1.5,0,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,51841.44
Lenovo,2 in 1 Convertible,8,1.8,1,1,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,88924.31999999999
Asus,Gaming,16,2.73,0,0,127.33567457123112,Intel Core i7,1024,512,0,0,Nvidia,Windows,95850.72
Dell,Gaming,16,4.42,0,1,169.78089942830815,Intel Core i7,1024,256,0,0,Nvidia,Windows,149130.72
MSI,Gaming,16,3.78,0,1,127.33567457123112,Intel Core i7,1024,256,0,0,Nvidia,Windows,82351.6992
Asus,Notebook,8,2.69,0,0,127.33567457123112,Intel Core i7,1024,128,0,0,Nvidia,Others/No OS/Linux,47365.92
HP,Notebook,6,2.04,0,0,141.21199808219862,AMD Processor,0,0,1024,0,AMD,Windows,29303.4672
Lenovo,Notebook,4,1.85,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Intel,Windows,23922.72
HP,Notebook,8,1.49,0,0,165.6321180513006,Intel Core i5,0,512,0,0,Intel,Windows,51095.52
Dell,Gaming,32,4.42,0,0,127.33567457123112,Intel Core i7,1024,256,0,0,Nvidia,Windows,149184.0
HP,Notebook,4,2.04,0,0,141.21199808219862,Intel Core i3,500,0,0,0,Intel,Windows,36496.8
MSI,Gaming,16,1.8,0,0,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows,102777.12
HP,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i3,500,0,0,0,Intel,Windows,35616.6144
Dell,Ultrabook,8,1.29,1,0,276.053530085501,Intel Core i5,0,256,0,0,Intel,Windows,86526.72
Dell,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows,39906.72
Lenovo,Notebook,4,2.8,0,0,127.33567457123112,Intel Core i3,500,0,0,0,Intel,Others/No OS/Linux,28185.12
Lenovo,Ultrabook,16,1.1,0,1,209.8006828649808,Intel Core i7,0,512,0,0,Intel,Windows,111834.72
Asus,Notebook,4,1.86,0,0,100.45466986113652,Other Intel Processor,0,128,0,0,Intel,Windows,22324.32
Asus,Ultrabook,8,1.7,0,0,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows,55938.672
Acer,Notebook,4,2.4,0,0,100.45466986113652,Other Intel Processor,500,0,0,0,Intel,Windows,20246.4
Acer,Notebook,8,2.23,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Windows,39533.76
Dell,Notebook,4,2.18,0,0,100.45466986113652,Intel Core i3,1024,0,0,0,AMD,Windows,32921.712
HP,Notebook,8,2.04,0,0,100.45466986113652,Intel Core i7,2048,0,0,0,Intel,Windows,33513.119999999995
Lenovo,2 in 1 Convertible,4,2.1,1,1,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Windows,46193.76
Dell,Notebook,4,2.3,0,0,100.45466986113652,Intel Core i3,0,128,0,0,AMD,Windows,26586.72
Dell,Gaming,16,4.36,0,1,127.33567457123112,Intel Core i7,1024,128,0,0,Nvidia,Windows,133467.4656
